adgroup,ab,title,desc,url
G0_대입면접일반,A,대학 면접 준비 첫 순서,"31개 대학 실제 기출 3,934문을 지원 대학별 한 권에",https://hyunhak.com/guidebook/index.html
G0_대입면접일반,B,내 생기부가 질문이 된다,13년차 대치동 컨설턴트가 만든 대학별 면접 가이드북 31권,https://hyunhak.com/guidebook/index.html
G1_기출질문,A,"대학 면접 기출 3,934문",선배 후기에서 회수한 실제 질문을 대학별 유형별로,https://hyunhak.com/guidebook/index.html
G1_기출질문,B,면접 예상 질문 내 기록서,생기부 기재를 질문으로 바꾸는 규칙과 꼬리질문까지,https://hyunhak.com/guidebook/index.html
G2_학원컨설팅,A,면접 준비 대학별 한 권,13년차 대치동 컨설턴트가 편집한 기출과 생기부 질문 규칙,https://hyunhak.com/guidebook/index.html
G2_학원컨설팅,B,대입 모의면접 촬영 응시,연세대 고려대 제시문 면접을 실전 규격으로 응시,https://hyunhak.com/studio.html
G3_학종서류,A,서류기반 면접 판정부터,38개 대학 전형별 면접 형태와 준비 자료를 한 표로,https://hyunhak.com/interview.html
G3_학종서류,B,생기부 면접 질문 규칙,내 기재가 어떤 질문이 되는지 대학별로 정리했습니다,https://hyunhak.com/guidebook/index.html
G4_의대,A,의약학 면접 형태 판정,의예과 전형별 면접 형태와 실제 기출을 대학별 한 권에,https://hyunhak.com/guidebook/index.html
G4_의대,B,의대 면접 기출과 규칙,13년차 대치동 컨설턴트가 정리한 전형별 제원과 생기부 질문 규칙,https://hyunhak.com/guidebook/index.html
U_ajou,A,아주대 면접 기출 190문,"실제 기출 190문과 생기부 질문 규칙 62개. 열람 33,000원",https://hyunhak.com/guidebook/ajou.html
U_ajou,B,아주대 면접 내 질문부터,"ACE전형 면접 대비, 생기부 질문 규칙 62개. 13년차 대치동 컨설턴트 편집",https://hyunhak.com/guidebook/ajou.html
U_catholic,A,가톨릭대 면접 기출 147문,"실제 기출 147문과 생기부 질문 규칙 59개. 열람 33,000원",https://hyunhak.com/guidebook/catholic.html
U_catholic,B,가톨릭대 면접 내 질문부터,13년차 대치동 컨설턴트가 뽑은 기출과 생기부 질문 규칙 59개,https://hyunhak.com/guidebook/catholic.html
U_cau,A,중앙대 면접 기출 131문,"실제 기출 131문과 생기부 질문 규칙 59개. 열람 33,000원",https://hyunhak.com/guidebook/cau.html
U_cau,B,중앙대 면접 내 질문부터,13년차 대치동 컨설턴트가 뽑은 CAU탐구형인재 면접 기출과 질문 규칙 59개,https://hyunhak.com/guidebook/cau.html
U_dongguk,A,동국대 면접 기출 176문,"실제 기출 176문과 생기부 질문 규칙 59개. 열람 33,000원",https://hyunhak.com/guidebook/dongguk.html
